"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by oligohydramnios"	"P01.2"	24	1826869	1.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by multiple pregnancy"	"P01.5"	39	1826869	2.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	20	1826869	1.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	143	1826869	7.8
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by placental transfusion syndromes"	"P02.3"	24	1826869	1.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by chorioamnionitis"	"P02.7"	125	1826869	6.8
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by other specified complications of labour and delivery"	"P03.8"	20	1826869	1.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	14	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by maternal use of drugs of addiction"	"P04.4"	14	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Slow fetal growth, unspecified"	"P05.9"	44	1826869	2.4
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Extremely low birth weight"	"P07.0"	15	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Extreme immaturity"	"P07.2"	1038	1826869	56.8
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other preterm infants"	"P07.3"	343	1826869	18.8
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Intrauterine hypoxia, unspecified"	"P20.9"	78	1826869	4.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Birth asphyxia, unspecified"	"P21.9"	52	1826869	2.8
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Respiratory distress syndrome of newborn"	"P22.0"	154	1826869	8.4
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Respiratory distress of newborn, unspecified"	"P22.9"	20	1826869	1.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Neonatal aspiration of meconium"	"P24.0"	14	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Pneumothorax originating in the perinatal period"	"P25.1"	23	1826869	1.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	58	1826869	3.2
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	42	1826869	2.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Primary atelectasis of newborn"	"P28.0"	107	1826869	5.9
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Respiratory failure of newborn"	"P28.5"	13	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Neonatal cardiac failure"	"P29.0"	121	1826869	6.6
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Neonatal cardiac dysrhythmia"	"P29.1"	144	1826869	7.9
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Persistent fetal circulation"	"P29.3"	37	1826869	2.0
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	18	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Sepsis of newborn due to Escherichia coli"	"P36.4"	23	1826869	1.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other bacterial sepsis of newborn"	"P36.8"	19	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	161	1826869	8.8
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Infection specific to the perinatal period, unspecified"	"P39.9"	10	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	84	1826869	4.6
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Intracranial (nontraumatic) haemorrhage of newborn, unspecified"	"P52.9"	18	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Disseminated intravascular coagulation of newborn"	"P60"	21	1826869	1.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other congenital anaemias, not elsewhere classified"	"P61.4"	12	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Necrotizing enterocolitis of newborn"	"P77"	128	1826869	7.0
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Perinatal intestinal perforation"	"P78.0"	44	1826869	2.4
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Hydrops fetalis not due to haemolytic disease"	"P83.2"	83	1826869	4.5
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	121	1826869	6.6
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other specified conditions originating in the perinatal period"	"P96.8"	13	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Condition originating in the perinatal period, unspecified"	"P96.9"	22	1826869	1.2
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Anencephaly"	"Q00.0"	137	1826869	7.5
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Encephalocele, unspecified"	"Q01.9"	11	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Congenital hydrocephalus, unspecified"	"Q03.9"	22	1826869	1.2
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Holoprosencephaly"	"Q04.2"	50	1826869	2.7
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other reduction deformities of brain"	"Q04.3"	27	1826869	1.5
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Congenital malformation of brain, unspecified"	"Q04.9"	18	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Double outlet right ventricle"	"Q20.1"	13	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Discordant ventriculoarterial connection"	"Q20.3"	11	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Ventricular septal defect"	"Q21.0"	13	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Atrioventricular septal defect"	"Q21.2"	19	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Tetralogy of Fallot"	"Q21.3"	18	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Hypoplastic left heart syndrome"	"Q23.4"	69	1826869	3.8
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other specified congenital malformations of heart"	"Q24.8"	14	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Congenital malformation of heart, unspecified"	"Q24.9"	178	1826869	9.7
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Patent ductus arteriosus"	"Q25.0"	15	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Hypoplasia and dysplasia of lung"	"Q33.6"	113	1826869	6.2
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Renal agenesis, bilateral"	"Q60.1"	20	1826869	1.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Renal agenesis, unspecified"	"Q60.2"	23	1826869	1.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Polycystic kidney, infantile type"	"Q61.1"	13	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Polycystic kidney, unspecified"	"Q61.3"	37	1826869	2.0
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Renal dysplasia"	"Q61.4"	15	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Thanatophoric short stature"	"Q77.1"	15	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Osteochondrodysplasia, unspecified"	"Q78.9"	30	1826869	1.6
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Congenital diaphragmatic hernia"	"Q79.0"	80	1826869	4.4
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Exomphalos"	"Q79.2"	13	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Gastroschisis"	"Q79.3"	12	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Congenital malformation syndromes predominantly involving limbs"	"Q87.2"	10	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other specified congenital malformation syndromes, not elsewhere classified"	"Q87.8"	16	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Conjoined twins"	"Q89.4"	16	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	76	1826869	4.2
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other specified congenital malformations"	"Q89.8"	11	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Congenital malformation, unspecified"	"Q89.9"	54	1826869	3.0
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Down syndrome, unspecified"	"Q90.9"	20	1826869	1.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Edwards syndrome, unspecified"	"Q91.3"	245	1826869	13.4
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Patau syndrome, unspecified"	"Q91.7"	99	1826869	5.4
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Triploidy and polyploidy"	"Q92.7"	10	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Sudden infant death syndrome - SIDS"	"R95"	603	1826869	33.0
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other ill-defined and unspecified causes of mortality"	"R99"	455	1826869	24.9
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"COVID-19"	"U07.1"	12	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	12	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Drowning and submersion while in bath-tub"	"W65"	15	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Accidental suffocation and strangulation in bed"	"W75"	385	1826869	21.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	12	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Unspecified threat to breathing"	"W84"	29	1826869	1.6
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Assault by hanging, strangulation and suffocation"	"X91"	10	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"By unspecified person"	"Y07.9"	18	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Assault by unspecified means"	"Y09"	37	1826869	2.0
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	10	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Hanging, strangulation and suffocation, undetermined intent"	"Y20"	18	1826869	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	86	1908141	4.5
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	15	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Septicaemia, unspecified"	"A41.9"	38	1908141	2.0
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other viral infections of unspecified site"	"B34.8"	17	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Coagulation defect, unspecified"	"D68.9"	14	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Acidosis"	"E87.2"	12	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Metabolic disorder, unspecified"	"E88.9"	22	1908141	1.2
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	20	1908141	1.0
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Encephalopathy, unspecified"	"G93.4"	29	1908141	1.5
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other secondary pulmonary hypertension"	"I27.2"	21	1908141	1.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Cardiac arrest, unspecified"	"I46.9"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	12	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other specified cerebrovascular diseases"	"I67.8"	32	1908141	1.7
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Viral pneumonia, unspecified"	"J12.9"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Bronchopneumonia, unspecified"	"J18.0"	21	1908141	1.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Pneumonia, unspecified"	"J18.9"	23	1908141	1.2
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Interstitial pulmonary disease, unspecified"	"J84.9"	13	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other disorders of lung"	"J98.4"	24	1908141	1.3
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other specified respiratory disorders"	"J98.8"	10	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Acute vascular disorders of intestine"	"K55.0"	10	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Perforation of intestine (nontraumatic)"	"K63.1"	12	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Hepatic failure, unspecified"	"K72.9"	17	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Unspecified renal failure"	"N19"	14	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	33	1908141	1.7
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by maternal infectious and parasitic diseases"	"P00.2"	14	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by maternal injury"	"P00.5"	14	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by incompetent cervix"	"P01.0"	166	1908141	8.7
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by premature rupture of membranes"	"P01.1"	358	1908141	18.8
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by oligohydramnios"	"P01.2"	41	1908141	2.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by multiple pregnancy"	"P01.5"	35	1908141	1.8
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	21	1908141	1.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	201	1908141	10.5
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by placental transfusion syndromes"	"P02.3"	18	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by other compression of umbilical cord"	"P02.5"	10	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by chorioamnionitis"	"P02.7"	122	1908141	6.4
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by other specified complications of labour and delivery"	"P03.8"	27	1908141	1.4
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	14	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Newborn affected by maternal use of drugs of addiction"	"P04.4"	19	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Slow fetal growth, unspecified"	"P05.9"	45	1908141	2.4
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Extremely low birth weight"	"P07.0"	28	1908141	1.5
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Extreme immaturity"	"P07.2"	1331	1908141	69.8
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other preterm infants"	"P07.3"	379	1908141	19.9
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Intrauterine hypoxia, unspecified"	"P20.9"	92	1908141	4.8
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Birth asphyxia, unspecified"	"P21.9"	78	1908141	4.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Respiratory distress syndrome of newborn"	"P22.0"	198	1908141	10.4
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Respiratory distress of newborn, unspecified"	"P22.9"	15	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Congenital pneumonia, unspecified"	"P23.9"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Neonatal aspiration of meconium"	"P24.0"	13	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Pneumothorax originating in the perinatal period"	"P25.1"	23	1908141	1.2
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	59	1908141	3.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	67	1908141	3.5
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Unspecified chronic respiratory disease originating in the perinatal period"	"P27.9"	10	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Primary atelectasis of newborn"	"P28.0"	140	1908141	7.3
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Respiratory failure of newborn"	"P28.5"	20	1908141	1.0
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other specified respiratory conditions of newborn"	"P28.8"	13	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Neonatal cardiac failure"	"P29.0"	161	1908141	8.4
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Neonatal cardiac dysrhythmia"	"P29.1"	150	1908141	7.9
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Persistent fetal circulation"	"P29.3"	49	1908141	2.6
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other cardiovascular disorders originating in the perinatal period"	"P29.8"	15	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	31	1908141	1.6
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Sepsis of newborn due to streptococcus, group B"	"P36.0"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Sepsis of newborn due to Escherichia coli"	"P36.4"	57	1908141	3.0
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other bacterial sepsis of newborn"	"P36.8"	18	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	213	1908141	11.2
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Neonatal candidiasis"	"P37.5"	16	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Infection specific to the perinatal period, unspecified"	"P39.9"	17	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Intraventricular (nontraumatic) haemorrhage, grade 3, of newborn"	"P52.2"	18	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	109	1908141	5.7
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Intracerebral (nontraumatic) haemorrhage of newborn"	"P52.4"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Intracranial (nontraumatic) haemorrhage of newborn, unspecified"	"P52.9"	16	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Neonatal haemorrhage, unspecified"	"P54.9"	18	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Disseminated intravascular coagulation of newborn"	"P60"	43	1908141	2.3
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other congenital anaemias, not elsewhere classified"	"P61.4"	21	1908141	1.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Necrotizing enterocolitis of newborn"	"P77"	173	1908141	9.1
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Perinatal intestinal perforation"	"P78.0"	47	1908141	2.5
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Hydrops fetalis not due to haemolytic disease"	"P83.2"	91	1908141	4.8
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	132	1908141	6.9
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other specified conditions originating in the perinatal period"	"P96.8"	26	1908141	1.4
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Condition originating in the perinatal period, unspecified"	"P96.9"	18	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Anencephaly"	"Q00.0"	126	1908141	6.6
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Encephalocele, unspecified"	"Q01.9"	17	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Microcephaly"	"Q02"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Congenital hydrocephalus, unspecified"	"Q03.9"	24	1908141	1.3
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Holoprosencephaly"	"Q04.2"	39	1908141	2.0
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Other reduction deformities of brain"	"Q04.3"	15	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Congenital malformation of brain, unspecified"	"Q04.9"	19	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Common arterial trunk"	"Q20.0"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Double outlet right ventricle"	"Q20.1"	10	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Discordant ventriculoarterial connection"	"Q20.3"	16	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Atrioventricular septal defect"	"Q21.2"	11	1908141	Unreliable
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Tetralogy of Fallot"	"Q21.3"	24	1908141	1.3
	"< 1 year"	"1"	"Male"	"M"	"2020"	"2020"	"Hypoplastic left heart syndrome"	"Q23.4"	103	1908141	5.4
